Absorber,Thickness,Defect,Donor_density,PCE,,,
CsPbBr3,0.4,100000000000000,1000000000000,4.41078202,,,
CsPbBr3,0.4,100000000000000,10000000000000,4.41062245,,,
CsPbBr3,0.4,100000000000000,100000000000000,4.4089895,,,
CsPbBr3,0.4,100000000000000,1E15,4.38815788,,,
CsPbBr3,0.4,1E15,10000000000,4.15266858,,,
CsPbBr3,0.4,1E15,100000000000,4.15266456,,,
CsPbBr3,0.4,1E15,1000000000000,4.15262427,,,
CsPbBr3,0.4,1E15,10000000000000,4.15222059,,,
CsPbBr3,0.4,1E15,100000000000000,4.1481002,,,
CsPbBr3,0.4,1E15,1E15,4.09641672,,,
CsPbBr3,0.4,1E16,10000000000,3.64115379,,,
CsPbBr3,0.4,1E16,100000000000,3.64115118,,,
CsPbBr3,0.4,1E16,1000000000000,3.64112513,,,
CsPbBr3,0.4,1E16,10000000000000,3.64086279,,,
CsPbBr3,0.4,1E16,100000000000000,3.63805316,,,
CsPbBr3,0.4,1E16,1E15,3.58416053,,,
CsPbBr3,0.5,1000000000000,10000000000,4.74796476,,,
CsPbBr3,0.5,1000000000000,100000000000,4.74796441,,,
CsPbBr3,0.5,1000000000000,1000000000000,4.74796089,,,
CsPbBr3,0.5,1000000000000,10000000000000,4.74792563,,,
CsPbBr3,0.5,1000000000000,100000000000000,4.74756833,,,
CsPbBr3,0.5,1000000000000,1E15,4.74327991,,,
CsPbBr3,0.5,10000000000000,10000000000,4.73973939,,,
CsPbBr3,0.5,10000000000000,100000000000,4.73973877,,,
CsPbBr3,0.5,10000000000000,1000000000000,4.73973256,,,
CsPbBr3,0.5,10000000000000,10000000000000,4.7396703,,,
CsPbBr3,0.5,10000000000000,100000000000000,4.73903259,,,
CsPbBr3,0.5,10000000000000,1E15,4.73053785,,,
CsPbBr3,0.5,100000000000000,10000000000,4.66755005,,,
CsPbBr3,0.5,100000000000000,100000000000,4.66754746,,,
CsPbBr3,0.5,100000000000000,1000000000000,4.66752154,,,
CsPbBr3,0.5,100000000000000,10000000000000,4.66726152,,,
CsPbBr3,0.5,100000000000000,100000000000000,4.6645779,,,
CsPbBr3,0.5,100000000000000,1E15,4.62633206,,,
CsPbBr3,0.5,1E15,10000000000,4.34239047,,,
CsPbBr3,0.5,1E15,100000000000,4.34238474,,,
CsPbBr3,0.5,1E15,1000000000000,4.34232744,,,
CsPbBr3,0.5,1E15,10000000000000,4.34175288,,,
CsPbBr3,0.5,1E15,100000000000000,4.3358491,,,
CsPbBr3,0.5,1E15,1E15,4.25313125,,,
CsPbBr3,0.5,1E16,10000000000,3.74956111,,,
CsPbBr3,0.5,1E16,100000000000,3.7495588,,,
CsPbBr3,0.5,1E16,1000000000000,3.74953564,,,
CsPbBr3,0.5,1E16,10000000000000,3.74930157,,,
CsPbBr3,0.5,1E16,100000000000000,3.74669865,,,
CsPbBr3,0.5,1E16,1E15,3.67218847,,,
CsPbBr3,0.6,1000000000000,10000000000,4.94781232,,,
CsPbBr3,0.6,1000000000000,100000000000,4.94781195,,,
